* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
68, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:sprinter, 70, 1, 1
69, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:troll, 10, 1, 1
70, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:vampflyer, 20, 1, 1
71, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:vampire, 20, 1, 1
72, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:wiloger, 0, 0, 0
73, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
74, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
75, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
76, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 10, 4, 4
77, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
78, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
79, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
80, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:coral_snake, 10, 1, 1
81, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:hippo, 10, 1, 3
82, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:lizard, 10, 1, 1
83, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:tortoise, 10, 1, 1
84, jungle, minecraft:bamboo_jungle, CREATURE, ytech:terror_bird, 10, 1, 2
85, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 15, 1, 1
86, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
87, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
88, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, minecraft:tropical_fish, 25, 5, 5
89, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
90, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
91, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:beast, 0, 0, 0
92, nether, minecraft:basalt_deltas, MONSTER, quark:foxhound, 30, 1, 2
93, nether, minecraft:basalt_deltas, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
94, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:golem_2, 0, 0, 0
95, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
96, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
97, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
98, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
99, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
100, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
101, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:tfc, 0, 0, 0
102, nether, minecraft:basalt_deltas, MONSTER, kaolinclayze:wiloger, 0, 0, 0
103, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 10, 1, 4
104, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
105, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
106, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
107, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
108, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
109, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
110, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
111, beach, minecraft:beach, MONSTER, minecraft:enderman, 5, 1, 4
112, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
113, beach, minecraft:beach, MONSTER, kaolinclayze:beast, 0, 0, 0
114, beach, minecraft:beach, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
115, beach, minecraft:beach, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
116, beach, minecraft:beach, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
117, beach, minecraft:beach, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
118, beach, minecraft:beach, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
119, beach, minecraft:beach, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
120, beach, minecraft:beach, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
121, beach, minecraft:beach, MONSTER, luminous_monsters:sunken, 80, 1, 3
122, beach, minecraft:beach, MONSTER, kaolinclayze:wiloger, 0, 0, 0
123, beach, minecraft:beach, CREATURE, minecraft:turtle, 10, 2, 5
124, beach, minecraft:beach, CREATURE, naturalist:cardinal, 10, 3, 4
125, beach, minecraft:beach, CREATURE, naturalist:coral_snake, 10, 1, 1
126, beach, minecraft:beach, CREATURE, quark:crab, 10, 1, 3
127, beach, minecraft:beach, CREATURE, minecraft:pig, 15, 1, 1
128, beach, minecraft:beach, CREATURE, ytech:woolly_rhino, 10, 2, 6
129, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
130, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
131, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
132, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
133, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
134, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
135, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
136, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
137, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
138, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
139, forest, minecraft:birch_forest, MONSTER, kaolinclayze:beast, 0, 0, 0
140, forest, minecraft:birch_forest, MONSTER, enemyexpansion:crawler, 50, 1, 2
141, forest, minecraft:birch_forest, MONSTER, enemyexpansion:direwolf, 80, 2, 4
142, forest, minecraft:birch_forest, MONSTER, enemyexpansion:equestrian, 20, 1, 1
143, forest, minecraft:birch_forest, MONSTER, enemyexpansion:faller, 50, 1, 2
144, forest, minecraft:birch_forest, MONSTER, enemyexpansion:flutterfly, 10, 1, 1
145, forest, minecraft:birch_forest, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
146, forest, minecraft:birch_forest, MONSTER, enemyexpansion:goblin, 20, 1, 4
147, forest, minecraft:birch_forest, MONSTER, enemyexpansion:huntsman, 50, 1, 1
148, forest, minecraft:birch_forest, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
149, forest, minecraft:birch_forest, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
150, forest, minecraft:birch_forest, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
151, forest, minecraft:birch_forest, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
152, forest, minecraft:birch_forest, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
153, forest, minecraft:birch_forest, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
154, forest, minecraft:birch_forest, MONSTER, enemyexpansion:intruder, 50, 1, 2
155, forest, minecraft:birch_forest, MONSTER, enemyexpansion:meature, 20, 1, 5
156, forest, minecraft:birch_forest, MONSTER, enemyexpansion:silverqueen, 10, 1, 1
157, forest, minecraft:birch_forest, MONSTER, enemyexpansion:slugger, 40, 1, 1
158, forest, minecraft:birch_forest, MONSTER, enemyexpansion:sprinter, 70, 1, 1
159, forest, minecraft:birch_forest, MONSTER, enemyexpansion:troll, 10, 1, 1
160, forest, minecraft:birch_forest, MONSTER, enemyexpansion:vampflyer, 20, 1, 1
161, forest, minecraft:birch_forest, MONSTER, enemyexpansion:vampire, 20, 1, 1
162, forest, minecraft:birch_forest, MONSTER, enemyexpansion:wasp, 80, 1, 4
163, forest, minecraft:birch_forest, MONSTER, kaolinclayze:wiloger, 0, 0, 0
164, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
165, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
166, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
167, forest, minecraft:birch_forest, CREATURE, minecraft:horse, 10, 2, 6
168, forest, minecraft:birch_forest, CREATURE, minecraft:donkey, 10, 1, 3
169, forest, minecraft:birch_forest, CREATURE, naturalist:bear, 10, 1, 2
170, forest, minecraft:birch_forest, CREATURE, naturalist:boar, 10, 3, 4
171, forest, minecraft:birch_forest, CREATURE, naturalist:butterfly, 10, 3, 6
172, forest, minecraft:birch_forest, CREATURE, naturalist:cardinal, 10, 3, 4
173, forest, minecraft:birch_forest, CREATURE, naturalist:deer, 10, 3, 5
174, forest, minecraft:birch_forest, CREATURE, naturalist:finch, 10, 3, 4
175, forest, minecraft:birch_forest, CREATURE, minecraft:fox, 10, 1, 2
176, forest, minecraft:birch_forest, CREATURE, minecraft:rabbit, 10, 2, 3
177, forest, minecraft:birch_forest, CREATURE, naturalist:lizard, 10, 1, 1
178, forest, minecraft:birch_forest, CREATURE, naturalist:robin, 10, 3, 4
179, forest, minecraft:birch_forest, CREATURE, naturalist:snail, 10, 2, 3
180, forest, minecraft:birch_forest, CREATURE, naturalist:snake, 10, 1, 1
181, forest, minecraft:birch_forest, CREATURE, ytech:aurochs, 10, 2, 6
182, forest, minecraft:birch_forest, CREATURE, ytech:deer, 15, 4, 8
183, forest, minecraft:birch_forest, CREATURE, ytech:fowl, 10, 2, 6
184, forest, minecraft:birch_forest, CREATURE, ytech:mouflon, 10, 2, 6
185, forest, minecraft:birch_forest, CREATURE, ytech:terror_bird, 10, 1, 2
186, forest, minecraft:birch_forest, CREATURE, ytech:wild_boar, 10, 2, 6
187, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
188, forest, minecraft:birch_forest, AMBIENT, naturalist:firefly, 10, 2, 4
189, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
190, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
191, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
192, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
193, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
194, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:creeper, 80, 4, 4
195, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
196, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 5, 1, 4
197, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
198, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:beast, 0, 0, 0
199, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:crawler, 50, 1, 2
200, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:direwolf, 80, 2, 4
201, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:equestrian, 20, 1, 1
202, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:faller, 50, 1, 2
203, extreme_hills, minecraft:cherry_grove, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
204, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:huntsman, 50, 1, 1
205, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
206, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
207, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
208, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
209, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
210, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
211, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:intruder, 50, 1, 2
212, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:meature, 20, 1, 5
213, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:silverqueen, 10, 1, 1
214, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:slugger, 40, 1, 1
215, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:sprinter, 70, 1, 1
216, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:troll, 10, 1, 1
217, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:vampflyer, 20, 1, 1
218, extreme_hills, minecraft:cherry_grove, MONSTER, enemyexpansion:vampire, 20, 1, 1
219, extreme_hills, minecraft:cherry_grove, MONSTER, kaolinclayze:wiloger, 0, 0, 0
220, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 10, 2, 6
221, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 10, 2, 4
222, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:fox, 10, 2, 4
223, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:panda, 10, 1, 2
224, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:canary, 10, 3, 4
225, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:deer, 10, 3, 5
226, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:robin, 10, 3, 4
227, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:snail, 10, 2, 3
228, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:sparrow, 10, 3, 4
229, extreme_hills, minecraft:cherry_grove, CREATURE, ytech:mouflon, 10, 2, 6
230, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 15, 1, 1
231, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
232, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
233, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
234, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
235, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
236, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
237, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
238, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
239, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
240, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
241, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
242, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:beast, 0, 0, 0
243, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:crawler, 50, 1, 2
244, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:direwolf, 80, 2, 4
245, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:equestrian, 20, 1, 1
246, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:faller, 50, 1, 2
247, ocean, minecraft:cold_ocean, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
248, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:huntsman, 50, 1, 1
249, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
250, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
251, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
252, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
253, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
254, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
255, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:intruder, 50, 1, 2
256, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:meature, 20, 1, 5
257, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:silverqueen, 10, 1, 1
258, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:slugger, 40, 1, 1
259, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:sprinter, 70, 1, 1
260, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:troll, 10, 1, 1
261, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:vampflyer, 20, 1, 1
262, ocean, minecraft:cold_ocean, MONSTER, enemyexpansion:vampire, 20, 1, 1
263, ocean, minecraft:cold_ocean, MONSTER, kaolinclayze:wiloger, 0, 0, 0
264, ocean, minecraft:cold_ocean, CREATURE, minecraft:pig, 15, 1, 1
265, ocean, minecraft:cold_ocean, CREATURE, minecraft:pig, 15, 1, 1
266, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
267, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
268, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
269, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
270, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
271, river, climaterivers:cold_river, MONSTER, minecraft:spider, 80, 4, 4
272, river, climaterivers:cold_river, MONSTER, minecraft:zombie, 80, 4, 4
273, river, climaterivers:cold_river, MONSTER, minecraft:zombie_villager, 10, 1, 1
274, river, climaterivers:cold_river, MONSTER, minecraft:skeleton, 80, 4, 4
275, river, climaterivers:cold_river, MONSTER, minecraft:creeper, 80, 4, 4
276, river, climaterivers:cold_river, MONSTER, minecraft:slime, 80, 4, 4
277, river, climaterivers:cold_river, MONSTER, minecraft:enderman, 5, 1, 4
278, river, climaterivers:cold_river, MONSTER, minecraft:witch, 5, 1, 1
279, river, climaterivers:cold_river, MONSTER, minecraft:drowned, 80, 1, 1
280, river, climaterivers:cold_river, MONSTER, kaolinclayze:beast, 0, 0, 0
281, river, climaterivers:cold_river, MONSTER, enemyexpansion:crawler, 50, 1, 2
282, river, climaterivers:cold_river, MONSTER, enemyexpansion:direwolf, 80, 2, 4
283, river, climaterivers:cold_river, MONSTER, enemyexpansion:equestrian, 20, 1, 1
284, river, climaterivers:cold_river, MONSTER, enemyexpansion:faller, 50, 1, 2
285, river, climaterivers:cold_river, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
286, river, climaterivers:cold_river, MONSTER, enemyexpansion:huntsman, 50, 1, 1
287, river, climaterivers:cold_river, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
288, river, climaterivers:cold_river, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
289, river, climaterivers:cold_river, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
290, river, climaterivers:cold_river, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
291, river, climaterivers:cold_river, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
292, river, climaterivers:cold_river, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
293, river, climaterivers:cold_river, MONSTER, enemyexpansion:intruder, 50, 1, 2
294, river, climaterivers:cold_river, MONSTER, enemyexpansion:meature, 20, 1, 5
295, river, climaterivers:cold_river, MONSTER, enemyexpansion:silverqueen, 10, 1, 1
296, river, climaterivers:cold_river, MONSTER, enemyexpansion:slugger, 40, 1, 1
297, river, climaterivers:cold_river, MONSTER, enemyexpansion:sprinter, 70, 1, 1
298, river, climaterivers:cold_river, MONSTER, enemyexpansion:troll, 10, 1, 1
299, river, climaterivers:cold_river, MONSTER, enemyexpansion:vampflyer, 20, 1, 1
300, river, climaterivers:cold_river, MONSTER, enemyexpansion:vampire, 20, 1, 1
301, river, climaterivers:cold_river, MONSTER, kaolinclayze:wiloger, 0, 0, 0
302, river, climaterivers:cold_river, CREATURE, naturalist:coral_snake, 10, 1, 1
303, river, climaterivers:cold_river, CREATURE, naturalist:duck, 10, 3, 4
304, river, climaterivers:cold_river, CREATURE, naturalist:snail, 10, 2, 3
305, river, climaterivers:cold_river, CREATURE, minecraft:pig, 15, 1, 1
306, river, climaterivers:cold_river, CREATURE, minecraft:pig, 15, 1, 1
307, river, climaterivers:cold_river, AMBIENT, minecraft:bat, 10, 8, 8
308, river, climaterivers:cold_river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
309, river, climaterivers:cold_river, WATER_CREATURE, minecraft:squid, 10, 1, 4
310, river, climaterivers:cold_river, WATER_AMBIENT, minecraft:salmon, 10, 1, 5
311, river, climaterivers:cold_river, WATER_AMBIENT, naturalist:bass, 10, 3, 6
312, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 10, 2, 4
313, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 10, 3, 4
314, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 10, 3, 4
