[11:11:58] [main/INFO]: ModLauncher running: args [--username, Den_lille, --version, forge-47.3.33, --gameDir, C:\Users\Antoine\curseforge\minecraft\Instances\New Project, --assetsDir, C:\Users\Antoine\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 7ed56862d5bd49fa942d17b4a366804a, --accessToken, ????????, --clientId, NjZkYTA1MjctMjUyYi00YmRhLWE1MTAtODdiZWFhNGIzY2Uy, --xuid, 2535408021963911, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Antoine\curseforge\minecraft\Install\quickPlay\java\1747991516766.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.33, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[11:11:58] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[11:12:00] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file astikorcarts-1.20.1-1.1.8.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Atlas Lib-1.20.1-1.1.12.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file betterbiomeblend-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file betterchunkloading-1.20.1-5.4.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file BiomeParticleWeather-v4.1.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file biomespawnpoint-1.20.1-2.4.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file blended-compat-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file booklinggear-1.20.1-3.7.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file bots_lib-4.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file brickfurnace-1.20.1-2.1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file brickhopper-1.20.1-1.7.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file burnt_basic-1.9.0.2-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file CameraOverhaul-v2.0.4-forge+mc[1.20.0-1.20.5].jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file canary-mc1.20.1-0.3.3.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file citadel-2.6.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file clientcrafting-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ClimateRivers-v20.1.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file collective-1.20.1-7.93.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ConnectorExtras-1.11.2+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file cookyourfood--mc1.20.1--1.11.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file countereds_terrain_slabs-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file craft_on_surface-1.20.1-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file CraftTweaker-forge-1.20.1-14.0.57.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file CreativeCore_FORGE_v2.12.27_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file CullLessLeaves-Reforged-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file dew_drop_farmland-1.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file dew_drop_watering_cans-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file diet-forge-2.1.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file dropthemeat-1.6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file eatinganimation-1.20.1-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file emi-1.1.18+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file enemyexpansion-2.3.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file EnhancedAI-2.5.5-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file entity_model_features_forge_1.20.1-2.4.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file entity_texture_features_forge_1.20.1-6.2.9.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file explosiveenhancement-1.1.0-1.20.1-client-and-server.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file fabric-api-0.92.2+1.11.9+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file farmerd_naturalist_compat-0.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file FastSuite-1.20.1-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file feral_wolves-0.01-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file flib-1.20.1-0.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file fragiletorches-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ftb-library-forge-2001.2.9.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ftb-quests-forge-2001.4.13.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ftb-teams-forge-2001.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file fusion-1.1.1-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file fzzy_config-0.6.9+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file GeophilicReforged-v1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file gml-4.0.9-all.jar of type LANGPROVIDER with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file hardmodeores-1.20.1-b.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file holdmyitems-1.20.1-4v6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file hourglass-1.20-1.2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file IguanaTweaksExpanded-1.17.3-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file IguanaTweaksReborn-3.21.4-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file immersive_weathering-1.20.1-2.0.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file immersivelanterns-forge-1.0.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file immersiveoverlays-forge-1.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file improvedmobs-1.20.1-1.13.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file incontrol-1.20-9.2.11.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file insanelib-1.19.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file item-filters-forge-2001.1.0-build.59.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Jade-1.20.1-Forge-11.12.3.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file jeed-1.20-2.2.5.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.105.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file jeiintegration_1.20.1-10.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file JustEnoughResources-1.20.1-1.4.0.247.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Kiwi-1.20.1-Forge-11.8.28.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file legendarysurvivaloverhaul-1.20.1-1.4.11.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file lititup-1.20.1-4.21.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file LittleTiles_BETA_v1.6.0-pre142_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Luminous Monsters V1.2.5 - Forge 1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Lychee-1.20.1-Forge-5.1.19.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file make_bubbles_pop-0.3.0-forge-mc1.19.4-1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file manure-1.20.1-3.9.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file MaxHealthFix-Forge-1.20.1-12.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file MobsPropertiesRandomness-4.10.13-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file modernfix-forge-5.21.0+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file moonlight-1.20-2.13.83-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file MRU-1.0.4+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file naturalist-5.0pre2+forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file noisium-forge-2.3.0+mc1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file nomobfarm-forge-1.6.6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file notenoughanimations-forge-1.9.3-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file oculus-mc1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file particular-1.20.1-Forge-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file PassableFoliage-1.20.1-forge-8.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Patchouli-1.20.1-84-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Paxi-1.20-Forge-4.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Pehkui-3.8.2+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Placebo-1.20.1-8.6.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2-rc1+1.20.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file potionbundles-1.20-1.8.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file PresenceFootsteps-1.20.1-1.9.1-beta.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Pretty Rain-1.20.1-Forge-1.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file probejs-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file projectvibrantjourneys-1.20.1-6.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file PuzzlesLib-v8.1.32-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file RealisticTorches-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file restApi-0.10.1-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file revampedwolf-1.20.1-6.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file rhino-forge-2001.2.3-build.6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file rucksacks-1.20.1-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sapwood.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sdm_bestiary-forge-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sdm_ui_lib-1.20.1-1.8.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file SereneSeasons-1.20.1-9.0.0.46.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sereneseasonsfix-1.20.2-1.1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Shields+-1.10.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file simpleclouds-0.6.3+1.20.1-forge-all.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file SimplyCanteens-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sodiumdynamiclights-forge-1.0.10-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sodiumextras-forge-1.0.7-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sodiumoptionsapi-forge-1.0.10-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sootychimneys-1.20.1-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file sound-physics-remastered-forge-1.20.1-1.4.10.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file Sounds-2.2.1+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file spark-1.10.53-forge.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file spawnbalanceutility-1.20-46.13.6.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
